smiles,neg_log2_mic
CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CNC(CNc4ccc(CN)cc4)C3)C(C)C12,5.321928094887363
O=C(C(=Cc1ccccc1Cl)n1cnc2cc(Cl)ccc2c1=O)c1nccs1,-1.0
CC1(C)C=Cc2c(cc(O)c3c(=O)c4c(oc23)-c2ccc(O)cc2OC(C(C)(C)O)C4)O1,-2.0
Cc1c(C(=O)OCC#CCN2CCN(c3cc(C4CC4)ccc3C#N)CC2)sc2ncnc(N3CCOCC3)c12,2.4266254735540556
O=c1oc2ccccc2cc1-c1coc2c1ccc1ccccc12,-2.643856189774725
CCOC(=O)C1CCN(Cn2nc(Cc3ccc(SC)cc3)oc2=S)CC1,-3.643856189774725
CCCCCCCCCc1cccc(O)c1C=O,-5.0
NS(=O)(=O)c1ccc(NC(=S)NC(=O)c2cccc([N+](=O)[O-])c2)cc1,1.6757654377294686
CCCCC(CN(O)C=O)C(=O)N1CCCC1c1nnc(C2CCCC2)s1,-4.0
Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cn3cccc3)C2SC1,0.3219280948873623
CC1COc2c(N3CC(C)(N(C)C)C3)c(F)cc3c(=O)c(C(=O)O)cn1c23,3.0588936890535687
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(Cc4ccc([N+](=O)[O-])o4)CC3)nc21,-2.643856189774725
CN(C)Cc1cc2cc3c(cc2n1C)SCCc1c-3[nH]c(=O)c(C(=O)O)c1O,-1.0
Fc1ccc(NC2=Nn3c(nnc3-c3cc(F)c(Cl)cc3Cl)SC2)cc1Cl,-2.643856189774725
CCc1c(-c2ccc(N(C)C)cc2OC)[nH]c(=O)c(C(=O)O)c1O,-2.655351828612554
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCC4(CCNC4)C3)nc21,0.3219280948873623
CNCC1CCN(c2c(F)cc3c4oc(C)nc4c(=O)n(C4CC4)c3c2Cl)C1,-0.0
CC(CCC(=O)NN=Cc1ccc(Cl)cc1)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,-1.9671686075326276
